UID,time,amount,price,freight,discount,Shipping discount
301,2017/10/19 20:08,3,48.7125,0,0,0
240,2017/5/4 15:58,4,56.2125,0,0,0
892,2017/11/26 12:00,10,67.4625,0,0,0
585,2017/5/7 18:26,7,63.7125,0,0,0
487,2017/10/30 23:57,5,14.9625,0,0,0
518,2017/11/23 17:34,9,101.2125,0,0,0
939,2017/1/8 13:26,6,22.4625,0,0,0
68,2017/7/3 15:58,1,74.9625,0,0,0
257,2017/6/27 14:37,5,37.3125,0,0,0
927,2017/4/10 12:01,4,41.2125,0,0,0
566,2017/4/11 4:52,5,101.2125,1.99,0,-1.99
111,2017/2/20 4:13,5,29.9625,0,-1,0
546,2017/3/27 13:32,2,37.4625,0,0,0
318,2017/2/16 15:05,1,56.2125,0,0,0
780,2017/12/1 18:14,5,89.9625,1.58,0,-1.58
243,2017/4/23 4:15,6,44.9625,0,0,0
292,2017/1/5 4:17,8,63.7125,0,0,0
453,2017/7/19 15:24,3,44.9625,0,0,0
525,2017/7/3 16:50,9,56.2125,0,0,0
995,2017/4/26 18:50,6,37.4625,0,0,0
6,2017/11/27 6:17,3,74.9625,0,0,0
954,2017/1/30 23:44,6,74.9625,0,0,0
905,2017/10/20 14:48,9,26.2125,0,0,0
498,2017/9/12 18:08,5,41.2125,5.99,0,0
642,2017/7/8 1:24,6,67.4625,0,0,0
700,2017/2/8 0:02,3,41.2125,0,0,0
325,2017/11/30 23:08,5,22.4625,0,0,0
716,2017/12/11 0:12,4,41.2125,2.95,0,-2.95
719,2017/4/12 14:55,6,52.4625,0,0,0
138,2017/8/18 19:47,2,33.7125,0,0,0
878,2017/8/7 16:53,7,44.9625,5.99,0,0
435,2017/2/3 2:30,7,48.5625,3.88,0,-3.88
41,2017/2/6 1:27,7,59.9625,0,-4.35,0
541,2017/2/11 1:34,7,26.2125,0,0,0
784,2017/7/19 22:00,6,48.5625,0,0,0
495,2017/3/12 4:57,9,56.0625,0,0,0
296,2017/12/4 8:24,1,74.9625,0,0,0
37,2017/4/25 4:30,4,23.5875,0,0,0
279,2017/1/17 9:10,8,48.7125,0,0,0
167,2017/8/9 23:48,3,59.9625,0,0,0
729,2017/1/17 2:27,7,29.9625,0,0,0
433,2017/1/8 2:09,6,63.7125,0,0,0
48,2017/6/26 16:13,80,411.75,0,0,0
712,2017/8/3 15:45,7,47.2125,8.19,0,0
75,2017/5/20 2:08,4,44.9625,0,0,0
211,2017/6/21 19:06,4,37.4625,0,0,0
983,2017/3/11 22:38,4,37.4625,0,0,0
386,2017/2/10 7:40,1,29.9625,0,-1.75,0
114,2017/7/31 11:33,9,47.2125,0,0,0
490,2017/1/25 20:51,4,59.8125,8.25,0,0
140,2017/9/1 14:20,6,26.2125,2.8,0,-2.8
286,2017/6/24 1:13,3,22.4625,0,0,0
152,2017/4/8 15:34,9,89.9625,0,0,0
551,2017/1/1 19:24,4,37.4625,8.15,0,0
851,2017/5/13 15:28,9,33.5625,0,0,0
966,2017/8/14 16:00,9,59.8125,0,0,0
36,2017/2/4 7:28,4,44.8125,0,0,0
821,2017/6/26 7:10,4,22.4625,0,0,0
895,2017/6/13 13:01,5,21.7125,0,0,0
791,2017/6/27 21:48,8,33.7125,0.99,0,0
159,2017/5/28 18:58,7,41.0625,0,0,0
894,2017/3/23 4:10,2,35.9625,0,0,0
511,2017/11/10 23:54,3,29.8125,0,0,0
327,2017/11/28 16:43,9,63.7125,0,0,0
268,2017/2/24 7:03,6,59.8125,4.02,0,-4.02
255,2017/8/31 19:22,6,37.4625,0,0,0
300,2017/9/7 18:54,2,33.7125,0,0,0
230,2017/7/31 23:50,1,48.7125,3.33,0,-3.33
531,2017/6/1 1:59,8,37.4625,0,-1.05,0
142,2017/10/17 12:13,8,41.2125,3,0,0
23,2017/11/27 18:27,20,71.925,6.93,0,-6.93
742,2017/1/24 16:40,7,44.925,3.87,0,0
571,2017/7/10 3:17,7,44.9625,0,0,0
849,2017/3/18 12:20,5,67.4625,0,0,0
608,2017/11/27 16:39,4,22.4625,0,0,0
170,2017/11/16 6:51,5,67.4625,0,0,0
539,2017/8/9 21:56,8,22.4625,0.99,0,0
730,2017/11/27 16:34,9,63.7125,0,0,0
964,2017/1/3 5:49,6,22.4625,0,0,0
877,2017/1/2 2:31,5,41.175,0,0,0
276,2017/6/1 22:17,1,22.4625,2.38,0,0
688,2017/3/31 18:59,8,26.2125,0,0,0
962,2017/1/12 17:06,6,67.4625,0,0,0
1,2017/1/31 1:49,2,52.4625,9.98,0,0
752,2017/11/14 1:26,7,59.9625,0,0,0
162,2017/2/16 21:48,4,89.9625,0,0,0
940,2017/6/25 21:39,5,41.2125,0,0,0
950,2017/12/11 6:46,4,59.9625,0,0,0
319,2017/5/21 18:53,5,26.2125,0,0,0
691,2017/3/8 14:09,2,33.7125,0,-2,0
